	from	to	value
256	G1	G40	0
257	G1	G41	0
258	G1	G42	0
259	G1	G43	0
260	G1	G44	0
261	G1	G45	0
262	G1	G46	0
263	G1	G47	0
264	G1	G48	0
265	G1	G49	0
266	G1	G50	0
267	G1	G51	0
268	G1	G52	0
269	G1	G53	0
270	G1	G54	0
271	G1	G55	0
272	G1	G56	0
273	G1	G57	0
274	G1	G58	0
275	G1	G59	0
276	G1	G60	0
277	G1	G61	0
278	G1	G62	0
279	G1	G63	0
280	G1	G64	0
281	G1	G65	0
282	G1	G66	0
283	G1	G67	0
284	G1	G68	0
285	G1	G69	0
286	G1	G70	0
287	G1	G71	0
288	G1	G72	0
289	G1	G73	0
290	G1	G74	0
291	G1	G75	0
292	G1	G76	0
293	G1	G77	0
294	G1	G78	0
295	G1	G79	0
296	G1	G80	0
297	G2	G4	0
298	G2	G8	0
299	G2	G10	0
300	G2	G11	0
301	G2	G12	0
302	G2	G13	0
303	G2	G14	0
304	G2	G15	0
305	G2	G16	0
306	G2	G17	0
307	G2	G18	0
308	G2	G19	0
309	G2	G20	0
310	G2	G21	0
311	G2	G22	0
312	G2	G23	0
313	G2	G24	0
314	G2	G25	0
315	G2	G26	0
316	G2	G27	0
317	G2	G28	0
318	G2	G29	0
319	G2	G30	0
320	G2	G31	0
321	G2	G32	0
322	G2	G33	0
323	G2	G34	0
324	G2	G35	0
325	G2	G36	0
326	G2	G37	0
327	G2	G38	0
328	G2	G39	0
329	G2	G40	0
330	G2	G41	0
331	G2	G42	0
332	G2	G43	0
333	G2	G44	0
334	G2	G45	0
335	G2	G46	0
336	G2	G47	0
337	G2	G48	0
338	G2	G49	0
339	G2	G50	0
340	G2	G51	0
341	G2	G52	0
342	G2	G53	0
343	G2	G54	0
344	G2	G55	0
345	G2	G56	0
346	G2	G57	0
347	G2	G58	0
348	G2	G59	0
349	G2	G60	0
350	G2	G61	0
351	G2	G62	0
352	G2	G63	0
353	G2	G64	0
354	G2	G65	0
355	G2	G66	0
356	G2	G67	0
357	G2	G68	0
358	G2	G69	0
359	G2	G70	0
360	G2	G71	0
361	G2	G72	0
362	G2	G73	0
363	G2	G74	0
364	G2	G75	0
365	G2	G76	0
366	G2	G77	0
367	G2	G78	0
368	G2	G79	0
369	G2	G80	0
370	G3	G1	0
371	G3	G2	0
372	G3	G4	0
373	G3	G5	0
374	G3	G6	0
375	G3	G7	0
376	G3	G8	0
377	G3	G9	0
378	G3	G10	0
379	G3	G11	0
380	G3	G12	0
381	G3	G13	0
382	G3	G14	0
383	G3	G15	0
384	G3	G16	0
385	G3	G17	0
386	G3	G18	0
387	G3	G19	0
388	G3	G20	0
389	G3	G21	0
390	G3	G22	0
391	G3	G23	0
392	G3	G24	0
393	G3	G25	0
394	G3	G26	0
395	G3	G27	0
396	G3	G28	0
397	G3	G29	0
398	G3	G30	0
399	G3	G31	0
400	G3	G32	0
401	G3	G33	0
402	G3	G34	0
403	G3	G35	0
404	G3	G36	0
405	G3	G37	0
406	G3	G38	0
407	G3	G39	0
408	G3	G40	0
409	G3	G41	0
410	G3	G42	0
411	G3	G43	0
412	G3	G44	0
413	G3	G45	0
414	G3	G46	0
415	G3	G47	0
416	G3	G48	0
417	G3	G49	0
418	G3	G50	0
419	G3	G51	0
420	G3	G52	0
421	G3	G53	0
422	G3	G54	0
423	G3	G55	0
424	G3	G56	0
425	G3	G57	0
426	G3	G58	0
427	G3	G59	0
428	G3	G60	0
429	G3	G61	0
430	G3	G62	0
431	G3	G63	0
432	G3	G64	0
433	G3	G65	0
434	G3	G66	0
435	G3	G67	0
436	G3	G68	0
437	G3	G69	0
438	G3	G70	0
439	G3	G71	0
440	G3	G72	0
441	G3	G73	0
442	G3	G74	0
443	G3	G75	0
444	G3	G76	0
445	G3	G77	0
446	G3	G78	0
447	G3	G79	0
448	G3	G80	0
449	G4	G2	0
450	G4	G8	0
451	G4	G10	0
452	G4	G11	0
453	G4	G12	0
454	G4	G13	0
455	G4	G14	0
456	G4	G15	0
457	G4	G16	0
458	G4	G17	0
459	G4	G18	0
460	G4	G19	0
461	G4	G20	0
462	G4	G21	0
463	G4	G22	0
464	G4	G23	0
465	G4	G24	0
466	G4	G25	0
467	G4	G26	0
468	G4	G27	0
469	G4	G28	0
470	G4	G29	0
471	G4	G30	0
472	G4	G31	0
473	G4	G32	0
474	G4	G33	0
475	G4	G34	0
476	G4	G35	0
477	G4	G36	0
478	G4	G37	0
479	G4	G38	0
480	G4	G39	0
481	G4	G40	0
482	G4	G41	0
483	G4	G42	0
484	G4	G43	0
485	G4	G44	0
486	G4	G45	0
487	G4	G46	0
488	G4	G47	0
489	G4	G48	0
490	G4	G49	0
491	G4	G50	0
492	G4	G51	0
493	G4	G52	0
494	G4	G53	0
495	G4	G54	0
496	G4	G55	0
497	G4	G56	0
498	G4	G57	0
499	G4	G58	0
500	G4	G59	0
501	G4	G60	0
502	G4	G61	0
503	G4	G62	0
504	G4	G63	0
505	G4	G64	0
506	G4	G65	0
507	G4	G66	0
508	G4	G67	0
509	G4	G68	0
510	G4	G69	0
511	G4	G70	0
512	G4	G71	0
513	G4	G72	0
514	G4	G73	0
515	G4	G74	0
516	G4	G75	0
517	G4	G76	0
518	G4	G77	0
519	G4	G78	0
520	G4	G79	0
521	G4	G80	0
522	G5	G1	0
523	G5	G2	0
524	G5	G3	0
525	G5	G4	0
526	G5	G6	0
527	G5	G7	0
528	G5	G8	0
529	G5	G9	0
530	G5	G10	0
531	G5	G11	0
532	G5	G12	0
533	G5	G13	0
534	G5	G14	0
535	G5	G15	0
536	G5	G16	0
537	G5	G17	0
538	G5	G18	0
539	G5	G19	0
540	G5	G20	0
541	G5	G21	0
542	G5	G22	0
543	G5	G23	0
544	G5	G24	0
545	G5	G25	0
546	G5	G26	0
547	G5	G27	0
548	G5	G28	0
549	G5	G29	0
550	G5	G30	0
551	G5	G31	0
552	G5	G32	0
553	G5	G33	0
554	G5	G34	0
555	G5	G35	0
556	G5	G36	0
557	G5	G37	0
558	G5	G38	0
559	G5	G39	0
560	G5	G40	0
561	G5	G41	0
562	G5	G42	0
563	G5	G43	0
564	G5	G44	0
565	G5	G45	0
566	G5	G46	0
567	G5	G47	0
568	G5	G48	0
569	G5	G49	0
570	G5	G50	0
571	G5	G51	0
572	G5	G52	0
573	G5	G53	0
574	G5	G54	0
575	G5	G55	0
576	G5	G56	0
577	G5	G57	0
578	G5	G58	0
579	G5	G59	0
580	G5	G60	0
581	G5	G61	0
582	G5	G62	0
583	G5	G63	0
584	G5	G64	0
585	G5	G65	0
586	G5	G66	0
587	G5	G67	0
588	G5	G68	0
589	G5	G69	0
590	G5	G70	0
591	G5	G71	0
592	G5	G72	0
593	G5	G73	0
594	G5	G74	0
595	G5	G75	0
596	G5	G76	0
597	G5	G77	0
598	G5	G78	0
599	G5	G79	0
600	G5	G80	0
601	G6	G1	0
602	G6	G2	0
603	G6	G3	0
604	G6	G4	0
605	G6	G5	0
606	G6	G7	0
607	G6	G8	0
608	G6	G9	0
609	G6	G10	0
610	G6	G11	0
611	G6	G12	0
612	G6	G13	0
613	G6	G14	0
614	G6	G15	0
615	G6	G16	0
616	G6	G17	0
617	G6	G18	0
618	G6	G19	0
619	G6	G20	0
620	G6	G21	0
621	G6	G22	0
622	G6	G23	0
623	G6	G24	0
624	G6	G25	0
625	G6	G26	0
626	G6	G27	0
627	G6	G28	0
628	G6	G29	0
629	G6	G30	0
630	G6	G31	0
631	G6	G32	0
632	G6	G33	0
633	G6	G34	0
634	G6	G35	0
635	G6	G36	0
636	G6	G37	0
637	G6	G38	0
638	G6	G39	0
639	G6	G40	0
640	G6	G41	0
641	G6	G42	0
642	G6	G43	0
643	G6	G44	0
644	G6	G45	0
645	G6	G46	0
646	G6	G47	0
647	G6	G48	0
648	G6	G49	0
649	G6	G50	0
650	G6	G51	0
651	G6	G52	0
652	G6	G53	0
653	G6	G54	0
654	G6	G55	0
655	G6	G56	0
656	G6	G57	0
657	G6	G58	0
658	G6	G59	0
659	G6	G60	0
660	G6	G61	0
661	G6	G62	0
662	G6	G63	0
663	G6	G64	0
664	G6	G65	0
665	G6	G66	0
666	G6	G67	0
667	G6	G68	0
668	G6	G69	0
669	G6	G70	0
670	G6	G71	0
671	G6	G72	0
672	G6	G73	0
673	G6	G74	0
674	G6	G75	0
675	G6	G76	0
676	G6	G77	0
677	G6	G78	0
678	G6	G79	0
679	G6	G80	0
680	G7	G1	0
681	G7	G2	0
682	G7	G3	0
683	G7	G4	0
684	G7	G5	0
685	G7	G6	0
686	G7	G8	0
687	G7	G9	0
688	G7	G10	0
689	G7	G11	0
690	G7	G12	0
691	G7	G13	0
692	G7	G14	0
693	G7	G15	0
694	G7	G16	0
695	G7	G17	0
696	G7	G18	0
697	G7	G19	0
698	G7	G20	0
699	G7	G21	0
700	G7	G22	0
701	G7	G23	0
702	G7	G24	0
703	G7	G25	0
704	G7	G26	0
705	G7	G27	0
706	G7	G28	0
707	G7	G29	0
708	G7	G30	0
709	G7	G31	0
710	G7	G32	0
711	G7	G33	0
712	G7	G34	0
713	G7	G35	0
714	G7	G36	0
715	G7	G37	0
716	G7	G38	0
717	G7	G39	0
718	G7	G40	0
719	G7	G41	0
720	G7	G42	0
721	G7	G43	0
722	G7	G44	0
723	G7	G45	0
724	G7	G46	0
725	G7	G47	0
726	G7	G48	0
727	G7	G49	0
728	G7	G50	0
729	G7	G51	0
730	G7	G52	0
731	G7	G53	0
732	G7	G54	0
733	G7	G55	0
734	G7	G56	0
735	G7	G57	0
736	G7	G58	0
737	G7	G59	0
738	G7	G60	0
739	G7	G61	0
740	G7	G62	0
741	G7	G63	0
742	G7	G64	0
743	G7	G65	0
744	G7	G66	0
745	G7	G67	0
746	G7	G68	0
747	G7	G69	0
748	G7	G70	0
749	G7	G71	0
750	G7	G72	0
751	G7	G73	0
752	G7	G74	0
753	G7	G75	0
754	G7	G76	0
755	G7	G77	0
756	G7	G78	0
757	G7	G79	0
758	G7	G80	0
759	G8	G2	0
760	G8	G4	0
761	G8	G34	0
762	G8	G42	0
763	G8	G48	0
764	G8	G52	0
765	G8	G53	0
766	G8	G54	0
767	G8	G55	0
768	G8	G56	0
769	G8	G57	0
770	G8	G58	0
771	G8	G59	0
772	G8	G60	0
773	G8	G61	0
774	G8	G62	0
775	G8	G63	0
776	G8	G64	0
777	G8	G65	0
778	G8	G66	0
779	G8	G67	0
780	G8	G68	0
781	G8	G69	0
782	G8	G70	0
783	G8	G71	0
784	G8	G72	0
785	G8	G73	0
786	G8	G74	0
787	G8	G75	0
788	G8	G76	0
789	G8	G77	0
790	G8	G78	0
791	G9	G1	0
792	G9	G2	0
793	G9	G3	0
794	G9	G4	0
795	G9	G5	0
796	G9	G6	0
797	G9	G7	0
798	G9	G8	0
799	G9	G10	0
800	G9	G11	0
801	G9	G12	0
802	G9	G13	0
803	G9	G14	0
804	G9	G15	0
805	G9	G16	0
806	G9	G17	0
807	G9	G18	0
808	G9	G19	0
809	G9	G20	0
810	G9	G21	0
811	G9	G22	0
812	G9	G23	0
813	G9	G24	0
814	G9	G25	0
815	G9	G26	0
816	G9	G27	0
817	G9	G28	0
818	G9	G29	0
819	G9	G30	0
820	G9	G31	0
821	G9	G32	0
822	G9	G33	0
823	G9	G34	0
824	G9	G35	0
825	G9	G36	0
826	G9	G37	0
827	G9	G38	0
828	G9	G39	0
829	G9	G40	0
830	G9	G41	0
831	G9	G42	0
832	G9	G43	0
833	G9	G44	0
834	G9	G45	0
835	G9	G46	0
836	G9	G47	0
837	G9	G48	0
838	G9	G49	0
839	G9	G50	0
840	G9	G51	0
841	G9	G52	0
842	G9	G53	0
843	G9	G54	0
844	G9	G55	0
845	G9	G56	0
846	G9	G57	0
847	G9	G58	0
848	G9	G59	0
849	G9	G60	0
850	G9	G61	0
851	G9	G62	0
852	G9	G63	0
853	G9	G64	0
854	G9	G65	0
855	G9	G66	0
856	G9	G67	0
857	G9	G68	0
858	G9	G69	0
859	G9	G70	0
860	G9	G71	0
861	G9	G72	0
862	G9	G73	0
863	G9	G74	0
864	G9	G75	0
865	G9	G76	0
866	G9	G77	0
867	G9	G78	0
868	G9	G79	0
869	G9	G80	0
870	G10	G1	0
871	G10	G2	0
872	G10	G3	0
873	G10	G4	0
874	G10	G5	0
875	G10	G6	0
876	G10	G7	0
877	G10	G8	0
878	G10	G9	0
879	G10	G11	0
880	G10	G12	0
881	G10	G13	0
882	G10	G14	0
883	G10	G15	0
884	G10	G16	0
885	G10	G17	0
886	G10	G18	0
887	G10	G19	0
888	G10	G20	0
889	G10	G21	0
890	G10	G22	0
891	G10	G23	0
892	G10	G24	0
893	G10	G25	0
894	G10	G26	0
895	G10	G27	0
896	G10	G28	0
897	G10	G29	0
898	G10	G30	0
899	G10	G31	0
900	G10	G32	0
901	G10	G33	0
902	G10	G34	0
903	G10	G35	0
904	G10	G36	0
905	G10	G37	0
906	G10	G38	0
907	G10	G39	0
908	G10	G40	0
909	G10	G41	0
910	G10	G42	0
911	G10	G43	0
912	G10	G44	0
913	G10	G45	0
914	G10	G46	0
915	G10	G47	0
916	G10	G48	0
917	G10	G49	0
918	G10	G50	0
919	G10	G51	0
920	G10	G52	0
921	G10	G53	0
922	G10	G54	0
923	G10	G55	0
924	G10	G56	0
925	G10	G57	0
926	G10	G58	0
927	G10	G59	0
928	G10	G60	0
929	G10	G61	0
930	G10	G62	0
931	G10	G63	0
932	G10	G64	0
933	G10	G65	0
934	G10	G66	0
935	G10	G67	0
936	G10	G68	0
937	G10	G69	0
938	G10	G70	0
939	G10	G71	0
940	G10	G72	0
941	G10	G73	0
942	G10	G74	0
943	G10	G75	0
944	G10	G76	0
945	G10	G77	0
946	G10	G78	0
947	G10	G79	0
948	G10	G80	0
949	G11	G1	0
950	G11	G2	0
951	G11	G3	0
952	G11	G4	0
953	G11	G5	0
954	G11	G6	0
955	G11	G7	0
956	G11	G8	0
957	G11	G9	0
958	G11	G10	0
959	G11	G12	0
960	G11	G13	0
961	G11	G14	0
962	G11	G15	0
963	G11	G16	0
964	G11	G17	0
965	G11	G18	0
966	G11	G19	0
967	G11	G20	0
968	G11	G21	0
969	G11	G22	0
970	G11	G23	0
971	G11	G24	0
972	G11	G25	0
973	G11	G26	0
974	G11	G27	0
975	G11	G28	0
976	G11	G29	0
977	G11	G30	0
978	G11	G31	0
979	G11	G32	0
980	G11	G33	0
981	G11	G34	0
982	G11	G35	0
983	G11	G36	0
984	G11	G37	0
985	G11	G38	0
986	G11	G39	0
987	G11	G40	0
988	G11	G41	0
989	G11	G42	0
990	G11	G43	0
991	G11	G44	0
992	G11	G45	0
993	G11	G46	0
994	G11	G47	0
995	G11	G48	0
996	G11	G49	0
997	G11	G50	0
998	G11	G51	0
999	G11	G52	0
1000	G11	G53	0
1001	G11	G54	0
1002	G11	G55	0
1003	G11	G56	0
1004	G11	G57	0
1005	G11	G58	0
1006	G11	G59	0
1007	G11	G60	0
1008	G11	G61	0
1009	G11	G62	0
1010	G11	G63	0
1011	G11	G64	0
1012	G11	G65	0
1013	G11	G66	0
1014	G11	G67	0
1015	G11	G68	0
1016	G11	G69	0
1017	G11	G70	0
1018	G11	G71	0
1019	G11	G72	0
1020	G11	G73	0
1021	G11	G74	0
1022	G11	G75	0
1023	G11	G76	0
1024	G11	G77	0
1025	G11	G78	0
1026	G11	G79	0
1027	G11	G80	0
1028	G12	G1	0
1029	G12	G2	0
1030	G12	G3	0
1031	G12	G4	0
1032	G12	G5	0
1033	G12	G6	0
1034	G12	G7	0
1035	G12	G8	0
1036	G12	G9	0
1037	G12	G10	0
1038	G12	G11	0
1039	G12	G13	0
1040	G12	G14	0
1041	G12	G15	0
1042	G12	G16	0
1043	G12	G17	0
1044	G12	G18	0
1045	G12	G19	0
1046	G12	G20	0
1047	G12	G21	0
1048	G12	G22	0
1049	G12	G23	0
1050	G12	G24	0
1051	G12	G25	0
1052	G12	G26	0
1053	G12	G27	0
1054	G12	G28	0
1055	G12	G29	0
1056	G12	G30	0
1057	G12	G31	0
1058	G12	G32	0
1059	G12	G33	0
1060	G12	G34	0
1061	G12	G35	0
1062	G12	G36	0
1063	G12	G37	0
1064	G12	G38	0
1065	G12	G39	0
1066	G12	G40	0
1067	G12	G41	0
1068	G12	G42	0
1069	G12	G43	0
1070	G12	G44	0
1071	G12	G45	0
1072	G12	G46	0
1073	G12	G47	0
1074	G12	G48	0
1075	G12	G49	0
1076	G12	G50	0
1077	G12	G51	0
1078	G12	G52	0
1079	G12	G53	0
1080	G12	G54	0
1081	G12	G55	0
1082	G12	G56	0
1083	G12	G57	0
1084	G12	G58	0
1085	G12	G59	0
1086	G12	G60	0
1087	G12	G61	0
1088	G12	G62	0
1089	G12	G63	0
1090	G12	G64	0
1091	G12	G65	0
1092	G12	G66	0
1093	G12	G67	0
1094	G12	G68	0
1095	G12	G69	0
1096	G12	G70	0
1097	G12	G71	0
1098	G12	G72	0
1099	G12	G73	0
1100	G12	G74	0
1101	G12	G75	0
1102	G12	G76	0
1103	G12	G77	0
1104	G12	G78	0
1105	G12	G79	0
1106	G12	G80	0
1107	G13	G1	0
1108	G13	G2	0
1109	G13	G3	0
1110	G13	G4	0
1111	G13	G5	0
1112	G13	G6	0
1113	G13	G7	0
1114	G13	G8	0
1115	G13	G9	0
1116	G13	G10	0
1117	G13	G11	0
1118	G13	G12	0
1119	G13	G14	0
1120	G13	G15	0
1121	G13	G16	0
1122	G13	G17	0
1123	G13	G18	0
1124	G13	G19	0
1125	G13	G20	0
1126	G13	G21	0
1127	G13	G22	0
1128	G13	G23	0
1129	G13	G24	0
1130	G13	G25	0
1131	G13	G26	0
1132	G13	G27	0
1133	G13	G28	0
1134	G13	G29	0
1135	G13	G30	0
1136	G13	G31	0
1137	G13	G32	0
1138	G13	G33	0
1139	G13	G34	0
1140	G13	G35	0
1141	G13	G36	0
1142	G13	G37	0
1143	G13	G38	0
1144	G13	G39	0
1145	G13	G40	0
1146	G13	G41	0
1147	G13	G42	0
1148	G13	G43	0
1149	G13	G44	0
1150	G13	G45	0
1151	G13	G46	0
1152	G13	G47	0
1153	G13	G48	0
1154	G13	G49	0
1155	G13	G50	0
1156	G13	G51	0
1157	G13	G52	0
1158	G13	G53	0
1159	G13	G54	0
1160	G13	G55	0
1161	G13	G56	0
1162	G13	G57	0
1163	G13	G58	0
1164	G13	G59	0
1165	G13	G60	0
1166	G13	G61	0
1167	G13	G62	0
1168	G13	G63	0
1169	G13	G64	0
1170	G13	G65	0
1171	G13	G66	0
1172	G13	G67	0
1173	G13	G68	0
1174	G13	G69	0
1175	G13	G70	0
1176	G13	G71	0
1177	G13	G72	0
1178	G13	G73	0
1179	G13	G74	0
1180	G13	G75	0
1181	G13	G76	0
1182	G13	G77	0
1183	G13	G78	0
1184	G13	G79	0
1185	G13	G80	0
1186	G14	G1	0
1187	G14	G2	0
1188	G14	G3	0
1189	G14	G4	0
1190	G14	G5	0
1191	G14	G6	0
1192	G14	G7	0
1193	G14	G8	0
1194	G14	G9	0
1195	G14	G10	0
1196	G14	G11	0
1197	G14	G12	0
1198	G14	G13	0
1199	G14	G15	0
1200	G14	G16	0
1201	G14	G17	0
1202	G14	G18	0
1203	G14	G19	0
1204	G14	G20	0
1205	G14	G21	0
1206	G14	G22	0
1207	G14	G23	0
1208	G14	G24	0
1209	G14	G25	0
1210	G14	G26	0
1211	G14	G27	0
1212	G14	G28	0
1213	G14	G29	0
1214	G14	G30	0
1215	G14	G31	0
1216	G14	G32	0
1217	G14	G33	0
1218	G14	G34	0
1219	G14	G35	0
1220	G14	G36	0
1221	G14	G37	0
1222	G14	G38	0
1223	G14	G39	0
1224	G14	G40	0
1225	G14	G41	0
1226	G14	G42	0
1227	G14	G43	0
1228	G14	G44	0
1229	G14	G45	0
1230	G14	G46	0
1231	G14	G47	0
1232	G14	G48	0
1233	G14	G49	0
1234	G14	G50	0
1235	G14	G51	0
1236	G14	G52	0
1237	G14	G53	0
1238	G14	G54	0
1239	G14	G55	0
1240	G14	G56	0
1241	G14	G57	0
1242	G14	G58	0
1243	G14	G59	0
1244	G14	G60	0
1245	G14	G61	0
1246	G14	G62	0
1247	G14	G63	0
1248	G14	G64	0
1249	G14	G65	0
1250	G14	G66	0
1251	G14	G67	0
1252	G14	G68	0
1253	G14	G69	0
1254	G14	G70	0
1255	G14	G71	0
1256	G14	G72	0
1257	G14	G73	0
1258	G14	G74	0
1259	G14	G75	0
1260	G14	G76	0
1261	G14	G77	0
1262	G14	G78	0
1263	G14	G79	0
1264	G14	G80	0
1265	G15	G1	0
1266	G15	G2	0
1267	G15	G3	0
1268	G15	G4	0
1269	G15	G5	0
1270	G15	G6	0
1271	G15	G7	0
1272	G15	G8	0
1273	G15	G9	0
1274	G15	G10	0
1275	G15	G11	0
1276	G15	G12	0
1277	G15	G13	0
1278	G15	G18	0
1279	G15	G19	0
1280	G15	G20	0
1281	G15	G21	0
1282	G15	G22	0
1283	G15	G23	0
1284	G15	G24	0
1285	G15	G25	0
1286	G15	G26	0
1287	G15	G27	0
1288	G15	G28	0
1289	G15	G29	0
1290	G15	G30	0
1291	G15	G31	0
1292	G15	G32	0
1293	G15	G33	0
1294	G15	G34	0
1295	G15	G35	0
1296	G15	G36	0
1297	G15	G37	0
1298	G15	G38	0
1299	G15	G39	0
1300	G15	G40	0
1301	G15	G41	0
1302	G15	G42	0
1303	G15	G43	0
1304	G15	G44	0
1305	G15	G45	0
1306	G15	G46	0
1307	G15	G47	0
1308	G15	G48	0
1309	G15	G49	0
1310	G15	G50	0
1311	G15	G51	0
1312	G15	G52	0
1313	G15	G53	0
1314	G15	G54	0
1315	G15	G55	0
1316	G15	G56	0
1317	G15	G57	0
1318	G15	G58	0
1319	G15	G59	0
1320	G15	G60	0
1321	G15	G61	0
1322	G15	G62	0
1323	G15	G63	0
1324	G15	G64	0
1325	G15	G65	0
1326	G15	G66	0
1327	G15	G67	0
1328	G15	G68	0
1329	G15	G69	0
1330	G15	G70	0
1331	G15	G71	0
1332	G15	G72	0
1333	G15	G73	0
1334	G15	G74	0
1335	G15	G75	0
1336	G15	G76	0
1337	G15	G77	0
1338	G15	G78	0
1339	G15	G79	0
1340	G15	G80	0
1341	G16	G1	0
1342	G16	G2	0
1343	G16	G3	0
1344	G16	G4	0
1345	G16	G5	0
1346	G16	G6	0
1347	G16	G7	0
1348	G16	G8	0
1349	G16	G9	0
1350	G16	G10	0
1351	G16	G11	0
1352	G16	G12	0
1353	G16	G13	0
1354	G16	G14	0
1355	G16	G15	0
1356	G16	G17	0
1357	G16	G18	0
1358	G16	G19	0
1359	G16	G20	0
1360	G16	G21	0
1361	G16	G22	0
1362	G16	G23	0
